"","track_id","track_name","track_url","artist_name","artist_id"
"33","2TOzTqQXNmR2zDJXihjZ2e","enough for you","https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"34","6RX5iL93VZ5fKmyvNXvF1r","Irreplaceable","https://open.spotify.com/track/6RX5iL93VZ5fKmyvNXvF1r","Beyoncé","6vWDO969PvNqNYHIOW5v0m"
"35","5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi","Taylor Swift","06HL4z0CvFAxyc27GXpf02"
"36","5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","James Arthur","4IWBUUAFIplrNtaOHcJPRM"
"37","3yMC1KsTwh0ceXdIe4QQAQ","Fingers Crossed","https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ","Lauren Spencer Smith","79AyR6ATpj2LTPxfb6FX50"
"38","6Jkm5kUldvIqxzI1Pa7nXH","10 Things I Hate About You","https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH","Leah Kate","6oWOHAOyBUn6aJlKIPJK9r"
"39","6ihL9TjfRjadfEePzXXyVF","Gives You Hell","https://open.spotify.com/track/6ihL9TjfRjadfEePzXXyVF","The All-American Rejects","3vAaWhdBR38Q02ohXqaNHT"
"40","7lPN2DXiMsVn7XUKtOW1CS","drivers license","https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"41","5WtfUKzXircvW8l5aaVZWT","What A Time (feat. Niall Horan)","https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT","Julia Michaels","0ZED1XzwlLHW4ZaG4lOT6m"
"42","55Am8neGJkdj2ADaM3aw5H","Train Wreck","https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H","James Arthur","4IWBUUAFIplrNtaOHcJPRM"
"43","11dxtPJKR4E0wlSr0A0t47","Potential Breakup Song","https://open.spotify.com/track/11dxtPJKR4E0wlSr0A0t47","Aly & AJ","5wugb0kaq0J6nyQ5Xgd17i"
"44","4Of7rzpRpV1mWRbhp5rAqG","Bruises","https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG","Lewis Capaldi","4GNC7GD6oZMSxPGyXy4MNB"
"45","2eAvDnpXP5W0cVtiI0PUxV","Dandelions","https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","2WzaAvm2bBCf4pEhyuDgCY"
"46","1nYzjrdVQ8RpF93M0jPFW7","Remember That Night?","https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7","Sara Kays","7Lk9V7E1u5gqSHmtcKlOqH"
"47","32mVHdy0bi1XKgr0ajsBlG","Picture To Burn","https://open.spotify.com/track/32mVHdy0bi1XKgr0ajsBlG","Taylor Swift","06HL4z0CvFAxyc27GXpf02"
"48","4DTrKnvkHtwQN6kBu4XXIF","She's So Gone","https://open.spotify.com/track/4DTrKnvkHtwQN6kBu4XXIF","Naomi Scott","2Zi3RrdQqk63Xj0914STkS"
"49","4wcBRRpIfesgcyUtis7PEg","1 step forward, 3 steps back","https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"50","0yLdNVWF3Srea0uzk55zFn","Flowers","https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","5YGY8feqx7naU7z4HrwZM6"
"51","6Z165JvPnS8PYvGW8oLGLc","Flowers","https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc","Lauren Spencer Smith","79AyR6ATpj2LTPxfb6FX50"
"52","25zXRQGuwYZdIp88fVZOPC","Wasting All These Tears","https://open.spotify.com/track/25zXRQGuwYZdIp88fVZOPC","Cassadee Pope","7ahuvq1mbb4idwG1iJbSFG"
"53","3EPXxR3ImUwfayaurPi3cm","Be Alright","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","Dean Lewis","3QSQFmccmX81fWCUSPTS7y"
"54","5qrSlOut2rNAWv3ubArkNy","Be Alright","https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy","Dean Lewis","3QSQFmccmX81fWCUSPTS7y"
"55","1TQXIltqoZ5XXyfCbAeSQQ","Dancing With Your Ghost","https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ","Sasha Alex Sloan","4xnihxcoXWK3UqryOSnbw5"
"56","3lBRNqXjPp2j3JMTCXDTNO","Best Thing I Never Had","https://open.spotify.com/track/3lBRNqXjPp2j3JMTCXDTNO","Beyoncé","6vWDO969PvNqNYHIOW5v0m"
"57","1n73Qe6oEprLsUNHXET2pb","Love Me or Leave Me","https://open.spotify.com/track/1n73Qe6oEprLsUNHXET2pb","Little Mix","3e7awlrlDSwF3iM0WBjGMp"
"58","7l97ElWmIdVHWUaOeeU5ZC","that way","https://open.spotify.com/track/7l97ElWmIdVHWUaOeeU5ZC","Tate McRae","45dkTj5sMRSjrmBSBeiHym"
"59","4Yxc55NX3tAXC2mHRAhtcW","All I Want - From ""High School Musical: The Musical: The Series""","https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"60","2nC3QhMI9reBIOWutbU3Tj","Moral of the Story","https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj","Ashe","6P5NO5hzJbuOqSdyPB7SJM"
"61","5ajjAnNRh8bxFvaVHzpPjh","Reckless","https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh","Madison Beer","2kRfqPViCqYdSGhYSM9R0Q"
"62","2qxmye6gAegTMjLKEBoR3d","Let Me Down Slowly","https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","5IH6FPUwQTxPSXurCrcIov"
"63","37ZKB38iNyKJ0xYEz9SJgk","Josslyn","https://open.spotify.com/track/37ZKB38iNyKJ0xYEz9SJgk","Olivia O'Brien","1QRj3hoop9Mv5VvHQkwPEp"
"64","0gplL1WMoJ6iYaPgMCL0gX","Easy On Me","https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX","Adele","4dpARuHxo51G3z768sgnrY"
"65","6ATgDc6e4sPn84hvJsAmPt","hate u love u","https://open.spotify.com/track/6ATgDc6e4sPn84hvJsAmPt","Olivia O'Brien","1QRj3hoop9Mv5VvHQkwPEp"
"66","6J2LdBN97cDWn0MLxYh9HB","July","https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB","Noah Cyrus","55fhWPvDiMpLnE4ZzNXZyW"
"67","6PERP62TejQjgHu81OHxgM","good 4 u","https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"68","4ka1FkKAMde6dQAFFMXKac","i hope ur miserable until ur dead","https://open.spotify.com/track/4ka1FkKAMde6dQAFFMXKac","Nessa Barrett","7pwufEBGfggjoI8twqlsmQ"
"69","60iSKGrGazRzICtMjADNSM","Hold Me While You Wait","https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM","Lewis Capaldi","4GNC7GD6oZMSxPGyXy4MNB"
"70","2kJwzbxV2ppxnQoYw4GLBZ","If the World Was Ending (feat. Julia Michaels)","https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ","JP Saxe","66W9LaWS0DPdL7Sz8iYGYe"
"71","6xGruZOHLs39ZbVccQTuPZ","Glimpse of Us","https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ","Joji","3MZsBdqDrRTJihTHQrO6Dq"
"72","6FB3v4YcR57y4tXFcdxI1E","I Knew You Were Trouble.","https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E","Taylor Swift","06HL4z0CvFAxyc27GXpf02"
"73","7FYH5AW3bVfZHJIQpq3UOA","I Don't Fuck With You","https://open.spotify.com/track/7FYH5AW3bVfZHJIQpq3UOA","Big Sean","0c173mlxpT3dSFRgMO8XPh"
"74","62ke5zFUJN6RvtXZgVH0F8","Only Love Can Hurt Like This","https://open.spotify.com/track/62ke5zFUJN6RvtXZgVH0F8","Paloma Faith","4fwuXg6XQHfdlOdmw36OHa"
"75","5YqltLsjdqFtvqE7Nrysvs","We Are Never Ever Getting Back Together (Taylor's Version)","https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs","Taylor Swift","06HL4z0CvFAxyc27GXpf02"
"76","6JY1IdkZGeIcPegKxjSKeb","Since U Been Gone","https://open.spotify.com/track/6JY1IdkZGeIcPegKxjSKeb","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX"
"77","2BOqDYLOJBiMOXShCV1neZ","Dancing On My Own","https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ","Calum Scott","6ydoSd3N2mwgwBHtF6K7eX"
"78","3VlbOrM6nYPprVvzBZllE5","Too Good At Goodbyes","https://open.spotify.com/track/3VlbOrM6nYPprVvzBZllE5","Sam Smith","2wY79sveU1sp5g7SokKOiI"
"79","5p7ujcrUXASCNwRaWNHR1C","Without Me","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","Halsey","26VFTg2z8YR0cCuwLzESi2"
"80","4CxFN5zON70B3VOPBYbd6P","you were good to me","https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P","Jeremy Zucker","3gIRvgZssIb9aiirIg0nI3"
"81","0JiY190vktuhSGN6aqJdrt","So What","https://open.spotify.com/track/0JiY190vktuhSGN6aqJdrt","P!nk","1KCSPY1glIKqW2TotWuXOR"
"82","7Lf7oSEVdzZqTA0kEDSlS5","Cry Me a River","https://open.spotify.com/track/7Lf7oSEVdzZqTA0kEDSlS5","Justin Timberlake","31TPClRtHm23RisEBtV3X7"
"83","0MMyJUC3WNnFS1lit5pTjk","jealousy, jealousy","https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk","Olivia Rodrigo","1McMsnEElThX1knmY4oliG"
"84","32BeYxKPrig1LefHsC0Xuo","Happier Than Ever - Edit","https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo","Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH"
"85","3JvKfv6T31zO0ini8iNItO","Another Love","https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO","Tom Odell","2txHhyCwHjUEpJjWrEyqyX"
"86","0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH"
