track_name,track_id,album_name,album_id,artist_name,artist_id,track_popularity,explicit,track_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,239r63fqY8PyWX9WcgwNzP,Sara Kays,7Lk9V7E1u5gqSHmtcKlOqH,69,False,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
Bussin,2OBot5OpoT4deri6VkYCyW,Hurricane Tay,6bKk25JFpPHHLN2aDXx8G9,Tay Money,6R6EfP43F8ZuMcilsE4zs7,42,True,https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW,0.858,0.519,0,-9.02,0,0.208,0.45,0,0.0884,0.752,148.087
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,58,True,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985
papacito,1nV5gbrDdxfua6ICkCVTgY,antisocial butterfly,0pZWmEVf32O4FD96hUwnGb,Alaina Castillo,0duLKMlcwhyZgqu8zSSjBp,0,True,https://open.spotify.com/track/1nV5gbrDdxfua6ICkCVTgY,0.592,0.634,4,-4.199,1,0.262,0.358,0,0.121,0.741,179.853
You're Such A,3QTDzwSkRW04FVPo6COm0H,HAIZ,1ABRc0UFHY3x6rKQeFBTQ0,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,49,False,https://open.spotify.com/track/3QTDzwSkRW04FVPo6COm0H,0.62,0.696,11,-6.323,1,0.0997,0.00798,1e-06,0.113,0.705,176.028
Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,Infinity On High,0hHopYqXhuvYSHtVyrcb1g,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,75,False,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,0.46,0.892,10,-5.046,0,0.0619,0.0051,0,0.106,0.59,154.844
Told You So,1uIwVtzdG5tZT32O9wdXk9,Told You So,3wWxDWxgdDiQOrkMnLXOf5,HRVY,28y6CyJNkGNjJQKrlx4AmN,47,False,https://open.spotify.com/track/1uIwVtzdG5tZT32O9wdXk9,0.745,0.825,0,-5.413,1,0.0748,0.0697,0,0.168,0.744,99.98
Bad Reputation,7pu8AhGUxHZSCWTkQ2eb5M,Bad Reputation (Expanded Edition),1gB28ytYFQElaXngAfeYep,Joan Jett & the Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,64,False,https://open.spotify.com/track/7pu8AhGUxHZSCWTkQ2eb5M,0.378,0.974,6,-4.055,1,0.194,0.00192,0.0139,0.0588,0.824,203.715
raindrops (an angel cried),0v2LUO8oTHnkjQ8MmKuXyk,Sweetener,3tx8gQqWbGwqIGZHqDNrGe,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,54,True,https://open.spotify.com/track/0v2LUO8oTHnkjQ8MmKuXyk,0.336,0.231,1,-6.217,1,0.0497,0.942,0,0.188,0.429,168.685
Never the 1,3gk96wClxx6rbSOpxXUc5O,Never the 1,5KVUDnIgiqO1vdeQoTZTCl,ROSIE,2bp65KnFOIsIosBoqPzvNL,0,True,https://open.spotify.com/track/3gk96wClxx6rbSOpxXUc5O,0.632,0.269,1,-11.92,1,0.19,0.912,0,0.121,0.34,85.096
